scientific_name,longitude,latitude,source
Galago senegalensis,36.90966,0.28422,iNaturalist
Galago senegalensis,10.49409,9.80155,iNaturalist
Galago senegalensis,36.84988,-1.39923,iNaturalist
Galago senegalensis,37.0131,-2.7774,iNaturalist
Galago senegalensis,36.76055,0.67026,iNaturalist
Galago senegalensis,37.92345,-1.0101,iNaturalist
Galago senegalensis,35.38631,-1.70556,iNaturalist
Galago senegalensis,36.06486,-1.90191,iNaturalist
Galago senegalensis,37.51763,-2.76875,iNaturalist
Galago senegalensis,38.76048,-0.11024,iNaturalist
Galago senegalensis,35.20841,-1.44016,iNaturalist
Galago senegalensis,35.11811,1.09559,iNaturalist
Galago senegalensis,34.7029,-2.38325,iNaturalist
Galago senegalensis,34.96589,-3.42781,iNaturalist
Galago senegalensis,35.2315,-1.055,iNaturalist
Galago senegalensis,1.40798,11.09128,iNaturalist
Galago senegalensis,37.00147,-3.01466,iNaturalist
Galago senegalensis,34.11731,-2.1898,iNaturalist
Galago senegalensis,10.76394,12.85243,iNaturalist
Galago senegalensis,35.72546,-1.23011,iNaturalist
Galago senegalensis,35.8428,-1.76335,iNaturalist
Galago senegalensis,38.1639,-0.1173,NMK
Galago senegalensis,2.40314,12.14122,iNaturalist
Galago senegalensis,35.31123,1.38405,NMK
Galago senegalensis,-12.3231,12.37584,iNaturalist
Galago senegalensis,36.95732,0.01071,iNaturalist
Galago senegalensis,-1.84838,9.2871,iNaturalist
Galago senegalensis,2,12,iNaturalist
Galago senegalensis,38.26298,-0.49486,iNaturalist
Galago senegalensis,2.39438,12.33216,iNaturalist
Galago senegalensis,1.73042,11.43472,iNaturalist
Galago senegalensis,37.85172,-4.01837,iNaturalist
Galago senegalensis,35.9819,-3.77581,iNaturalist
Galago senegalensis,2.23204,11.5997,iNaturalist
Galago senegalensis,37.6126,-0.81359,iNaturalist
Galago senegalensis,19.81943,10.88848,iNaturalist
Galago senegalensis,23.87163,6.30653,iNaturalist
Galago senegalensis,38.8332,-2.78168,NMK
Galago senegalensis,37.92953,2.87301,NMK
Galago senegalensis,31.8861,3.65665,iNaturalist
Galago senegalensis,1.88317,11.2918,iNaturalist
Galago senegalensis,36.95751,1.90258,iNaturalist
Galago senegalensis,-13.37566,13.34937,iNaturalist
Galago senegalensis,34.36979,-2.41234,iNaturalist
